Win-64

NativeInt,NativeInt,16,8,8000000000000000,7FFFFFFFFFFFFFFF
NativeUInt,NativeUInt,16,8,0000000000000000,FFFFFFFFFFFFFFFF
LongInt,Integer,1,4,80000000,7FFFFFFF
LongWord,Cardinal,1,4,00000000,FFFFFFFF
ShortInt,ShortInt,1,1,80,7F
Int8,ShortInt,1,1,80,7F
Byte,Byte,1,1,00,FF
UInt8,Byte,1,1,00,FF
SmallInt,SmallInt,1,2,8000,7FFF
Int16,SmallInt,1,2,8000,7FFF
Word,Word,1,2,0000,FFFF
UInt16,Word,1,2,0000,FFFF
Integer,Integer,1,4,80000000,7FFFFFFF
Int32,Integer,1,4,80000000,7FFFFFFF
FixedInt,Integer,1,4,80000000,7FFFFFFF
Cardinal,Cardinal,1,4,00000000,FFFFFFFF
UInt32,Cardinal,1,4,00000000,FFFFFFFF
FixedUInt,Cardinal,1,4,00000000,FFFFFFFF
DWORD,Cardinal,1,4,00000000,FFFFFFFF
Int64,Int64,16,8,8000000000000000,7FFFFFFFFFFFFFFF
UInt64,UInt64,16,8,0000000000000000,FFFFFFFFFFFFFFFF
Pointer,Pointer,20,8,,
Currency,Currency,4,8,,
